seller,product_name,product_price,sizes,sizes_text,image_url,product_url
crazy11,나이키 줌 머큐리얼 베이퍼 16 프로 TF (FQ8687-300) 풋살화 #,109000,"['230', '245', '250', '255', '260', '265', '270', '275', '280', '285', '290']","230, 245, 250, 255, 260, 265, 270, 275, 280, 285, 290",https://www.crazy11.co.kr/shopimages/winv007/0020010012712.png?1759382936,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=811511&search=%B8%D3%C5%A5%B8%AE%BE%F3+%BA%A3%C0%CC%C6%DB&sort=order&xcode=002&mcode=001&scode=006&GfDT=aWd3VQ%3D%3D
crazy11,나이키 줌 머큐리얼 베이퍼 16 프로 TF (FQ8687-600) 풋살화 #,109000,"['230', '235', '240', '245', '250', '255', '260', '265', '270', '275', '280', '285', '290', '295', '300']","230, 235, 240, 245, 250, 255, 260, 265, 270, 275, 280, 285, 290, 295, 300",https://www.crazy11.co.kr/shopimages/winv007/0020010012642.png?1752741025,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=810926&search=%B8%D3%C5%A5%B8%AE%BE%F3+%BA%A3%C0%CC%C6%DB&sort=order&xcode=002&mcode=001&scode=006&GfDT=a213UQ%3D%3D
crazy11,나이키 줌 머큐리얼 베이퍼 16 프로 AG-PRO (FQ8684-600) #,113000,"['245', '250', '255', '260', '265', '270', '275', '280', '285', '290']","245, 250, 255, 260, 265, 270, 275, 280, 285, 290",https://www.crazy11.co.kr/shopimages/winv007/0010040031322.png?1752713535,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=810759&search=%B8%D3%C5%A5%B8%AE%BE%F3+%BA%A3%C0%CC%C6%DB&sort=order&xcode=001&mcode=004&scode=001&GfDT=bWV4
crazy11,나이키 줌 머큐리얼 베이퍼 16 프로 FG (FQ8685-600) #,119000,"['245', '250', '260', '265', '270', '275', '280', '285', '290']","245, 250, 260, 265, 270, 275, 280, 285, 290",https://www.crazy11.co.kr/shopimages/winv007/0010040031332.png?1752719280,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=810760&search=%B8%D3%C5%A5%B8%AE%BE%F3+%BA%A3%C0%CC%C6%DB&sort=order&xcode=001&mcode=004&scode=001&GfDT=bmx7W1U%3D
crazy11,나이키 줌 머큐리얼 베이퍼 16 프로 FG 주니어 (HF5448-001) 유소년 #,119000,"['200', '205', '210', '215', '220', '230', '235', '240']","200, 205, 210, 215, 220, 230, 235, 240",https://www.crazy11.co.kr/shopimages/winv007/0090050005212.png?1752201326,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=810629&search=%B8%D3%C5%A5%B8%AE%BE%F3+%BA%A3%C0%CC%C6%DB&sort=order&xcode=009&mcode=005&scode=&GfDT=aW53U1w%3D
crazy11,나이키 줌 머큐리얼 베이퍼 16 프로 HG (FQ8686-600) #,119000,"['245', '250', '255', '260', '265', '270', '275', '280']","245, 250, 255, 260, 265, 270, 275, 280",https://www.crazy11.co.kr/shopimages/winv007/0010040031342.png?1752719180,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=810761&search=%B8%D3%C5%A5%B8%AE%BE%F3+%BA%A3%C0%CC%C6%DB&sort=order&xcode=001&mcode=004&scode=001&GfDT=bW13UFg%3D
crazy11,나이키 줌 머큐리얼 베이퍼 16 프로 TF (FQ8687-001) 풋살화 #,119000,"['230', '235', '240', '245', '250', '255', '260', '265', '275', '280']","230, 235, 240, 245, 250, 255, 260, 265, 275, 280",https://www.crazy11.co.kr/shopimages/winv007/0020010012562.png?1752201063,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=810715&search=%B8%D3%C5%A5%B8%AE%BE%F3+%BA%A3%C0%CC%C6%DB&sort=order&xcode=002&mcode=001&scode=006&GfDT=aWZ3UA%3D%3D
crazy11,나이키 줌 머큐리얼 베이퍼 16 프로 FG 주니어 (HF5448-300) 유소년 #,129000,"['200', '220']","200, 220",https://www.crazy11.co.kr/shopimages/winv007/0090050005342.png?1759382865,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=811512&search=%B8%D3%C5%A5%B8%AE%BE%F3+%BA%A3%C0%CC%C6%DB&sort=order&xcode=009&mcode=005&scode=&GfDT=Z2h3U10%3D
crazy11,나이키 줌 머큐리얼 베이퍼 16 프로 FG 주니어 (HF5448-600) 유소년 #,129000,"['200', '205', '215', '220', '225', '230', '235', '240']","200, 205, 215, 220, 225, 230, 235, 240",https://www.crazy11.co.kr/shopimages/winv007/0090050005282.png?1752719028,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=810762&search=%B8%D3%C5%A5%B8%AE%BE%F3+%BA%A3%C0%CC%C6%DB&sort=order&xcode=009&mcode=005&scode=&GfDT=a2V1
crazy11,나이키 줌 머큐리얼 베이퍼 16 프로 KM FG 주니어 (HF5450-500) 유소년 #,129000,"['205', '210', '225', '230', '240']","205, 210, 225, 230, 240",https://www.crazy11.co.kr/shopimages/winv007/0090050005192.jpg?1746145751,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=810104&search=%B8%D3%C5%A5%B8%AE%BE%F3+%BA%A3%C0%CC%C6%DB&sort=order&xcode=009&mcode=005&scode=&GfDT=aGl3U1g%3D
crazy11,나이키 줌 머큐리얼 베이퍼 16 프로 AG-PRO (FQ8684-300) #,135000,"['265', '270', '275', '280', '285', '290', '295']","265, 270, 275, 280, 285, 290, 295",https://www.crazy11.co.kr/shopimages/winv007/0010040031582.png?1759382992,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=811510&search=%B8%D3%C5%A5%B8%AE%BE%F3+%BA%A3%C0%CC%C6%DB&sort=order&xcode=001&mcode=004&scode=001&GfDT=bm1%2BW1o%3D
crazy11,나이키 줌 머큐리얼 베이퍼 16 프로 FG 주니어 (HF5448-446) 유소년 #,135000,"['200', '210', '220', '225', '230', '235', '240']","200, 210, 220, 225, 230, 235, 240",https://www.crazy11.co.kr/shopimages/winv007/0090050005472.png?1769650888,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=812372&search=%B8%D3%C5%A5%B8%AE%BE%F3+%BA%A3%C0%CC%C6%DB&sort=order&xcode=009&mcode=005&scode=&GfDT=bGd3UF8%3D
crazy11,나이키 줌 머큐리얼 베이퍼 16 프로 KM 킬리안 음바페 FG (FQ8689-801) #,135000,"['245', '250', '255', '260', '265', '270', '275', '280', '285', '290']","245, 250, 255, 260, 265, 270, 275, 280, 285, 290",https://www.crazy11.co.kr/shopimages/winv007/0010040031732.png?1761034158,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=811656&search=%B8%D3%C5%A5%B8%AE%BE%F3+%BA%A3%C0%CC%C6%DB&sort=order&xcode=001&mcode=004&scode=001&GfDT=Z2x3Ug%3D%3D
crazy11,나이키 줌 머큐리얼 베이퍼 16 프로 FG 주니어 (HF5448-301) 유소년 #,139000,"['200', '205', '210', '230', '235']","200, 205, 210, 230, 235",https://www.crazy11.co.kr/shopimages/winv007/0090050005152.png?1764317066,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809994&search=%B8%D3%C5%A5%B8%AE%BE%F3+%BA%A3%C0%CC%C6%DB&sort=order&xcode=009&mcode=005&scode=&GfDT=bm53UFo%3D
crazy11,나이키 줌 머큐리얼 베이퍼 16 프로 FG 주니어 (HF5448-400) 유소년 #,139000,['240'],240,https://www.crazy11.co.kr/shopimages/winv007/0090050004662.png?1764319019,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=807838&search=%B8%D3%C5%A5%B8%AE%BE%F3+%BA%A3%C0%CC%C6%DB&sort=order&xcode=009&mcode=005&scode=&GfDT=bml%2FW11M
